Context,mean_delta,std_delta,count,mean_abs_delta
conductor,2.335752328236898,0.730389313409792,3,2.335752328236898
explorer,2.0578198432922363,0.9859622402957001,4,2.0578198432922363
filmmaker,1.3931728154420853,0.5308990893453691,8,1.3931728154420853
physicist,1.3618142997676677,0.7967104521736803,11,1.3618142997676677
archaeologist,1.1700997895871599,2.071795966825898,12,1.1700997895871599
mathematician,1.0241070240736008,0.5041977352839998,8,1.0241070240736008
historian,1.0113338112831116,0.6314711925353522,30,1.0113338112831116
astronomer,0.9623461802800496,0.4425818420579978,15,0.9623461802800496
economist,0.9606572326860929,0.39105088713987013,19,0.9606572326860929
climatologist,0.9153213562288632,0.7682323842231755,6,0.9153213562288632
director,0.9048134326934815,0.37451757409142494,5,0.9048134326934815
chef,0.8339087658602259,0.47860362558421166,23,0.8339087658602259
journalist,0.7344158962368965,0.7949616393836209,16,0.7344158962368965
trainer,0.7291118303934733,0.5470568419313829,3,0.7291118303934733
musician,0.682903672519483,0.37679764049938363,19,0.682903672519483
engineer,0.6646703779697418,0.7652453442089158,36,0.6646703779697418
lawyer,0.628281831741333,0.33930264847009034,4,0.628281831741333
athlete,0.6187824744444627,1.2906704373891984,13,0.6187824744444627
physician,0.6026746034622192,0.15057833573919044,4,0.6026746034622192
pilot,0.5820305049419403,0.6492074289739118,7,0.5820305049419403
anthropologist,0.5772097424737045,1.0351764320072556,7,0.5772097424737045
poet,0.5399810791015625,0.2760290165508724,5,0.5399810791015625
architect,0.46510598063468933,0.3571991333376453,16,0.46510598063468933
geologist,0.4611296228000096,0.4059505376442242,14,0.4611296228000096
photographer,0.44033739609377726,0.3003864241252651,7,0.44033739609377726
geneticist,0.42704085095061195,0.7749253214798753,9,0.42704085095061195
analyst,0.40301979046601516,0.3075402456963533,13,0.40301979046601516
demographer,0.3898539545480162,0.2688607996035699,5,0.3898539545480162
expert,0.3428107448246168,0.32027571491296586,23,0.3428107448246168
entrepreneur,0.31088962725230623,0.6784604948227986,14,0.31088962725230623
coach,0.3012346426645915,0.4495546559906411,6,0.3012346426645915
developer,0.2568493253654904,0.28692607976611323,9,0.2568493253654904
novelist,0.2441069483757019,0.3444654601494894,4,0.2441069483757019
scientist,0.22094017076186645,0.46972760491416415,39,0.22094017076186645
artist,0.20987267792224884,0.3080476439800651,14,0.20987267792224884
neuroscientist,0.11780943686608225,0.8253644976275224,4,0.11780943686608225
strategist,0.11333163579305013,0.4014228127671399,3,0.11333163579305013
designer,0.10035956728047338,0.19597204805782706,29,0.10035956728047338
astronaut,0.06280720233917236,0.4272457870586916,4,0.06280720233917236
planner,0.06254944888254006,0.2168599201391158,21,0.06254944888254006
critic,0.03479299942652384,0.2526482357179479,3,0.03479299942652384
manager,0.008789584040641785,0.24915782437196166,4,0.008789584040641785
scholar,-0.010457217693328857,0.619076342782992,4,0.010457217693328857
researcher,-0.018327732880910236,0.34245881200291267,30,0.018327732880910236
specialist,-0.020930826663970947,0.2958425170113917,8,0.020930826663970947
choreographer,-0.03846118397389849,0.5993750867244797,3,0.03846118397389849
author,-0.042440699206458196,0.26635274255103547,9,0.042440699206458196
biologist,-0.11677134878212406,0.2706920556064379,31,0.11677134878212406
sociologist,-0.14530307985518853,0.4252054786886729,9,0.14530307985518853
fitness,-0.1503890872001648,0.1611288471392735,5,0.1503890872001648
psychologist,-0.1815578245347546,0.3784288444478244,31,0.1815578245347546
worker,-0.22327705938369036,0.14777079883443636,10,0.22327705938369036
coordinator,-0.25306224822998047,0.12664069744474604,3,0.25306224822998047
linguist,-0.2852737134256001,0.46487429589302465,14,0.2852737134256001
geographer,-0.3248992934823036,0.2994895403852318,4,0.3248992934823036
consultant,-0.32645098368326825,1.5953588025301515,3,0.32645098368326825
curator,-0.4101870059967041,0.2198524396253552,10,0.4101870059967041
advocate,-0.4345164696375529,0.03254933351025449,3,0.4345164696375529
educator,-0.4651259183883667,0.39992093870380196,16,0.4651259183883667
humanitarian,-0.5115715265274048,0.3408621601003507,4,0.5115715265274048
teacher,-0.7735331919458177,0.44742197277943696,9,0.7735331919458177
environmentalist,-0.8081551091745496,0.4956308036049949,16,0.8081551091745496
activist,-0.8644880294799805,0.593026948692946,5,0.8644880294799805
therapist,-0.9748805125554403,0.29162278159152716,15,0.9748805125554403
philanthropist,-0.9821731841657311,0.1663403987217054,5,0.9821731841657311
ecologist,-1.0189498525578529,0.6183944132033895,5,1.0189498525578529
nutritionist,-1.0598721981255546,0.4319211855165452,18,1.0598721981255546
criminologist,-1.1300031988066621,0.14402783435816383,4,1.1300031988066621
